Name	type	year	FIG_NAME
CG_034433_USA_2023	CG	2023	PV224528.1/USA/2023
CG_038840_USA_2023	CG	2023	PV224529.1/USA/2023
CG_089908_USA_2024	CG	2024	PV224521.1/USA/2024
CG_146464_USA_2023	CG	2023	PV224527.1/USA/2023
CG_182751_USA_2023	CG	2023	PV224530.1/USA/2023
CG_227320_USA_2023	CG	2023	PV224531.1/USA/2023
CG_234167_USA_2023	CG	2023	PV224522.1/USA/2023
CG_263793_USA_2023	CG	2023	PV224532.1/USA/2023
CG_268491_USA_2023	CG	2023	PV224533.1/USA/2023
CG_269147_USA_2023	CG	2023	PV224534.1/USA/2023
CG_283930_USA_2023	CG	2023	PV224523.1/USA/2023
CG_298783_USA_2023	CG	2023	PV224535.1/USA/2023
CG_320036_USA_2022	CG	2022	PV224536.1/USA/2022
CG_377695_USA_2023	CG	2023	PV224524.1/USA/2023
CG_386563_USA_2023	CG	2023	PV224537.1/USA/2023
CG_394816_USA_2023	CG	2023	PV224525.1/USA/2023
CG_405861_USA_2023	CG	2023	PV224538.1/USA/2023
CG_431694_USA_2023	CG	2023	PV224526.1/USA/2023
CG_9RDW65_USA_2022	CG	2022	PV224539.1/USA/2022
CG_AF533010.1V94_USA_1999	CG	1999	AF533010.1V94/USA/1999
CG_AF533011.1V98_USA_2002	CG	2002	AF533011.1V98/USA/2002
HN_HM460888.1_Saudi	HN	2009	HM460888.1/Saudi Arabia/2009
HN_JF416793.1_South	HN	2006	JF416793.1/South Korea/2006
HN_JF416794.1_South	HN	2006	JF416794.1/South Korea/2006
HN_JF912194.1_USA_2009	HN	2009	JF912194.1/USA/2009
HN_JF912195.1_USA_2009	HN	2009	JF912195.1/USA/2009
HN_JF912196.1_USA_2005	HN	2005	JF912196.1/USA/2005
CG_KM190939.1_Thailand_2011	CG	2011	KM190939.1/Thailand/2011
HN_KT898921.1_Italy_2009-10	HN	2009	KT898921.1/Italy/2009
HN_KT898922.1_Italy_2007-07	HN	2007	KT898922.1/Italy/2007
HN_KT898923.1_Italy_2007-12	HN	2007	KT898923.1/Italy/2007
HN_KT898924.1_Greer	HN		KT898924.1/Greer
HN_KX912737.1_Malaysia_2012-11-02	HN	2012	KX912737.1/Malaysia/2012
HN_KX912738.1_Malaysia_2012-12-12	HN	2012	KX912738.1/Malaysia/2012
HN_KX912739.1_Malaysia_2013-02-08	HN	2013	KX912739.1/Malaysia/2013
HN_KX912740.1_Malaysia_2013-02-18	HN	2013	KX912740.1/Malaysia/2013
HN_KX912741.1_Malaysia_2013-06-10	HN	2013	KX912741.1/Malaysia/2013
HN_KX912742.1_Malaysia_2013-06-12	HN	2013	KX912742.1/Malaysia/2013
HN_KX912743.1_Malaysia_2013-07-01	HN	2013	KX912743.1/Malaysia/2013
HN_KX912744.1_Malaysia_2013-07-19	HN	2013	KX912744.1/Malaysia/2013
HN_KX912745.1_Malaysia_2013-10-07	HN	2013	KX912745.1/Malaysia/2013
HN_KX912746.1_Malaysia_2013-12-18	HN	2013	KX912746.1/Malaysia/2013
HN_KX912747.1_Malaysia_2014-02-12	HN	2014	KX912747.1/Malaysia/2014
CG_KY674944.1_USA_2012	CG	2012	KY674944.1/USA/2012
CG_KY674945.1_USA_2010	CG	2010	KY674945.1/USA/2010
CG_KY674946.1_USA_2009	CG	2009	KY674946.1/USA/2009
CG_KY674947.1_USA_2008	CG	2008	KY674947.1/USA/2008
CG_KY674948.1_USA_2009	CG	2009	KY674948.1/USA/2009
CG_KY674949.1_USA_2010	CG	2010	KY674949.1/USA/2010
CG_KY674950.1_USA_2010	CG	2010	KY674950.1/USA/2010
CG_KY674951.1_USA_2010	CG	2010	KY674951.1/USA/2010
CG_KY674952.1_USA_2010	CG	2010	KY674952.1/USA/2010
CG_KY674954.1_USA_2010	CG	2010	KY674954.1/USA/2010
CG_KY674955.2_USA_2010	CG	2010	KY674955.2/USA/2010
CG_KY674956.1_USA_2010	CG	2010	KY674956.1/USA/2010
CG_KY674957.1_USA_2010	CG	2010	KY674957.1/USA/2010
CG_KY674958.1_USA_2010	CG	2010	KY674958.1/USA/2010
CG_KY674960.1_USA_2011	CG	2011	KY674960.1/USA/2011
CG_KY674961.1_USA_2012	CG	2012	KY674961.1/USA/2012
CG_KY674962.1_USA_2012	CG	2012	KY674962.1/USA/2012
CG_KY674965.1_USA_2012	CG	2012	KY674965.1/USA/2012
CG_KY674968.1_USA_2012	CG	2012	KY674968.1/USA/2012
CG_KY674969.1_USA_2012	CG	2012	KY674969.1/USA/2012
CG_KY674970.1_USA_2013	CG	2013	KY674970.1/USA/2013
CG_KY674971.1_USA_2014	CG	2014	KY674971.1/USA/2014
CG_KY674972.1_USA_2014	CG	2014	KY674972.1/USA/2014
CG_KY967352.1_USA_2015	CG	2015	KY967352.1/USA/2015
CG_KY986644.1_USA_2015	CG	2015	KY986644.1/USA/2015
CG_KY986645.1_USA_2017	CG	2017	KY986645.1/USA/2017
CG_KY986646.1_USA_2015	CG	2015	KY986646.1/USA/2015
HN_LC486579.1_Japan_2012	HN	2012	LC486579.1/Japan/2012
HN_LC486580.1_Japan_2012	HN	2012	LC486580.1/Japan/2012
HN_LC486581.1_Japan_2012	HN	2012	LC486581.1/Japan/2012
HN_LC486582.1_Japan_2012	HN	2012	LC486582.1/Japan/2012
HN_LC486583.1_Japan_2014	HN	2014	LC486583.1/Japan/2014
HN_LC486584.1_Japan_2014	HN	2014	LC486584.1/Japan/2014
HN_LC486585.1_Japan_2014	HN	2014	LC486585.1/Japan/2014
HN_LC486586.1_Japan_2014	HN	2014	LC486586.1/Japan/2014
HN_LC486587.1_Japan_2014	HN	2014	LC486587.1/Japan/2014
